time,action,signal,price,amount_btc,cost_usdt,note
2026-07-14 22:35:53,SELL,0,64887.1,0.00021,13.626291,"сигнал вниз, выходим"
2026-07-15 13:53:04,HOLD,0,4020.19,0.0,0.0,сигнал совпадает с позицией
2026-07-15 15:16:58,BUY,1,4026.25,0.0024,9.663,"сигнал вверх, входим"
2026-07-15 15:36:34,HOLD,1,4023.05,0.0023976,9.645664680000001,в позиции (BTC)
2026-07-15 15:37:43,HOLD,1,4023.04,0.0023976,9.645640704,в позиции (PAXG)
2026-07-15 15:38:08,HOLD,1,4024.1,0.0023976,9.648182160000001,в позиции (PAXG)
2026-07-15 15:40:27,HOLD,1,4023.06,0.0023976,9.645688656,в позиции (PAXG)
2026-07-15 17:31:52,SELL,0,4027.75,0.0023,9.263825,режим неблагоприятный: выход в USDT
2026-07-15 18:04:40,HOLD,0,4038.14,9.76e-05,0.394122464,trend: без действий
2026-07-15 23:26:52,BUY,1,77.66,2.575,199.9745,sma SOL/USDT
2026-07-22 14:23:43,LIVE ОТКРЫЛ short,BTC/USDT EMA↓ RSI 66,66080.6,,1000,"5m, плечо 2x, стоп 2%"
2026-07-22 14:23:47,LIVE ОТКРЫЛ short,ETH/USDT EMA↓ RSI 63,1922.41,,1000,"5m, плечо 2x, стоп 2%"
2026-07-22 15:25:35,LIVE ОТКРЫЛ long,ETH/USDT EMA↑ RSI 60,1924.84,,1000,"5m, плечо 2x, стоп 2%"
2026-07-22 15:35:44,LIVE ОТКРЫЛ short,ETH/USDT EMA↓ RSI 51,1920.0,,1000,"5m, плечо 2x, стоп 2%"
2026-07-22 15:56:41,LIVE ОТКРЫЛ long,ETH/USDT EMA↑ RSI 55,1921.41,,1000,"5m, плечо 2x, стоп 2%"
2026-07-22 16:48:11,LIVE ОТКРЫЛ long,ETH/USDT EMA↑ RSI 72,1931.22,,1000,"5m, плечо 2x, стоп 2%"
2026-07-22 17:05:19,LIVE ОТКРЫЛ long,BTC/USDT EMA↑ RSI 60,66006.5,,1000,"5m, плечо 2x, стоп 2%"
2026-07-22 17:09:05,LIVE ОТКРЫЛ short,BTC/USDT EMA↓ RSI 56,66022.4,,1000,"5m, плечо 2x, стоп 2%"
2026-07-22 17:10:29,LIVE ОТКРЫЛ long,BTC/USDT EMA↑ RSI 56,66022.5,,1000,"5m, плечо 2x, стоп 2%"
2026-07-22 17:16:58,LIVE ОТКРЫЛ short,BTC/USDT EMA↓ RSI 50,65963.5,,1000,"5m, плечо 2x, стоп 2%"
2026-07-22 17:20:49,LIVE ОТКРЫЛ long,BTC/USDT EMA↑ RSI 53,65968.3,,1000,"5m, плечо 2x, стоп 2%"
